,Attrition,BusinessTravel,DailyRate,Department,EmployeeCount,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,Yes,Travel_Rarely,869,Sales,1,47,86,2,1,Sales Representative,3,2683,3810,Yes,14,3,80,0,2,3,2,0,2
37,No,Travel_Rarely,890,Sales,1,49,97,3,1,Sales Representative,4,2014,9687,No,13,3,80,0,3,2,2,2,2
38,No,Travel_Rarely,852,Research & Development,1,51,82,2,1,Research Scientist,1,3419,13072,Yes,14,3,80,1,3,1,1,0,0
39,No,Travel_Frequently,1141,Sales,1,52,42,4,2,Sales Executive,1,5376,3193,No,19,3,80,2,3,5,3,1,3
40,No,Travel_Rarely,464,Research & Development,1,53,75,3,1,Laboratory Technician,4,1951,10910,No,12,3,80,1,3,1,0,0,0
41,No,Travel_Rarely,1240,Research & Development,1,54,33,3,1,Laboratory Technician,1,2341,19715,No,13,3,80,1,6,1,0,0,0
42,Yes,Travel_Rarely,1357,Research & Development,1,55,48,1,1,Laboratory Technician,3,2293,10558,No,12,3,80,0,2,1,0,0,1
43,No,Travel_Frequently,994,Sales,1,56,37,3,3,Sales Executive,3,8726,2975,No,15,3,80,0,0,9,8,1,7
44,No,Travel_Frequently,721,Research & Development,1,57,58,3,2,Laboratory Technician,4,4011,10781,No,23,4,80,0,2,12,8,3,7
45,Yes,Travel_Rarely,1360,Research & Development,1,58,49,3,5,Research Director,3,19545,16280,No,12,3,80,0,0,22,15,15,8
46,No,Non-Travel,1065,Sales,1,60,72,3,2,Sales Executive,3,4568,10034,No,20,4,80,0,2,9,5,8,7
47,No,Travel_Rarely,408,Research & Development,1,61,73,3,1,Research Scientist,2,3022,10227,No,21,4,80,0,1,1,0,0,0
48,No,Travel_Frequently,1211,Sales,1,62,98,3,2,Sales Executive,4,5772,20445,Yes,21,4,80,0,4,9,6,0,8
49,No,Travel_Rarely,1229,Research & Development,1,63,36,4,1,Laboratory Technician,4,2269,4892,No,19,3,80,0,2,1,0,0,1
50,Yes,Travel_Rarely,626,Research & Development,1,64,98,2,3,Laboratory Technician,3,5381,19294,Yes,13,3,80,0,2,1,0,0,0
51,Yes,Travel_Rarely,1434,Research & Development,1,65,50,3,1,Laboratory Technician,3,3441,11179,Yes,13,3,80,0,3,2,2,2,2
52,No,Travel_Rarely,1488,Sales,1,68,75,3,2,Sales Executive,1,5454,4009,Yes,21,4,80,1,2,4,3,1,3
53,No,Non-Travel,1097,Research & Development,1,70,79,2,3,Healthcare Representative,1,9884,8302,Yes,13,3,80,1,3,4,0,2,3
54,No,Travel_Rarely,1443,Sales,1,72,47,2,2,Sales Executive,4,4157,21436,Yes,19,3,80,1,2,2,2,0,0
55,No,Travel_Frequently,515,Research & Development,1,73,98,3,3,Research Director,4,13458,15146,Yes,12,3,80,0,1,15,14,8,12
56,No,Travel_Frequently,853,Sales,1,74,71,3,3,Sales Executive,1,9069,11031,No,22,4,80,1,3,9,8,1,8
57,No,Travel_Rarely,1142,Research & Development,1,75,30,3,1,Laboratory Technician,1,4014,16002,Yes,15,3,80,1,3,2,2,2,2
58,No,Travel_Rarely,655,Research & Development,1,76,48,3,2,Laboratory Technician,4,5915,9528,No,22,4,80,1,3,7,7,1,7
59,No,Travel_Rarely,1115,Research & Development,1,77,51,2,2,Manufacturing Director,3,5993,2689,No,18,3,80,1,2,7,5,0,7
60,No,Travel_Rarely,427,Research & Development,1,78,33,3,2,Manufacturing Director,4,6162,10877,Yes,22,4,80,1,3,9,8,7,8
61,No,Travel_Frequently,653,Research & Development,1,79,50,3,2,Laboratory Technician,4,2406,5456,No,11,3,80,0,2,10,3,9,9
62,No,Travel_Rarely,989,Research & Development,1,80,43,2,5,Research Director,3,18740,16701,Yes,12,3,80,1,2,27,3,13,8
63,No,Travel_Rarely,1435,Sales,1,81,99,3,3,Sales Executive,1,7637,2354,No,11,3,80,0,3,21,16,7,9
64,No,Travel_Rarely,1223,Research & Development,1,83,59,3,3,Healthcare Representative,3,10096,8202,No,13,3,80,3,2,17,14,12,8
65,No,Travel_Rarely,836,Research & Development,1,84,33,3,4,Manager,3,14756,19730,Yes,14,3,80,3,2,5,0,0,2
66,No,Travel_Frequently,1195,Research & Development,1,85,95,2,2,Manufacturing Director,2,6499,22656,No,13,3,80,0,3,6,5,0,3
67,No,Travel_Rarely,1339,Research & Development,1,86,59,3,3,Research Scientist,1,9724,18787,No,17,3,80,1,2,1,0,0,0
68,No,Travel_Frequently,664,Research & Development,1,88,79,3,1,Research Scientist,1,2194,5868,No,13,3,80,1,2,3,2,1,2
69,Yes,Travel_Rarely,318,Research & Development,1,90,79,2,1,Research Scientist,3,3388,21777,Yes,17,3,80,1,0,1,0,0,0
70,No,Travel_Frequently,1225,Sales,1,91,57,2,2,Sales Executive,3,5473,24668,No,11,3,80,0,2,4,3,1,3
71,No,Travel_Rarely,1328,Research & Development,1,94,76,3,1,Research Scientist,2,2703,4956,No,23,4,80,1,3,5,4,0,4
72,No,Travel_Rarely,1082,Research & Development,1,95,87,3,1,Research Scientist,2,2501,18775,No,17,3,80,0,4,1,1,1,0
73,No,Travel_Rarely,548,Research & Development,1,96,66,3,2,Research Scientist,2,6220,7346,No,17,3,80,2,3,10,4,0,9
74,No,Travel_Rarely,132,Research & Development,1,97,55,4,1,Laboratory Technician,4,3038,22002,No,12,3,80,0,3,1,0,0,0
75,No,Travel_Rarely,746,Research & Development,1,98,61,3,2,Manufacturing Director,4,4424,20682,No,23,4,80,0,2,11,7,1,8
76,No,Travel_Rarely,776,Sales,1,100,32,2,2,Sales Executive,1,4312,23016,No,14,3,80,0,2,15,13,2,8
77,No,Travel_Rarely,193,Research & Development,1,101,52,3,3,Research Director,1,13245,15067,Yes,14,3,80,0,3,0,0,0,0
78,No,Travel_Rarely,397,Research & Development,1,102,30,3,3,Research Director,3,13664,25258,No,13,3,80,0,3,5,2,0,2
79,No,Travel_Rarely,945,Human Resources,1,103,80,3,2,Human Resources,2,5021,10425,Yes,22,4,80,1,2,4,2,0,2
80,No,Travel_Rarely,852,Research & Development,1,104,55,2,2,Laboratory Technician,4,5126,15998,Yes,12,3,80,2,1,10,8,3,0
81,No,Travel_Rarely,1214,Research & Development,1,105,30,2,1,Research Scientist,3,2859,26278,No,18,3,80,0,3,6,4,0,4
82,No,Travel_Rarely,111,Sales,1,106,70,3,3,Sales Executive,4,10239,18092,No,14,3,80,1,4,1,0,1,0
83,No,Non-Travel,573,Research & Development,1,107,79,1,2,Research Scientist,4,5329,15717,Yes,12,3,80,3,3,13,11,1,9
84,No,Travel_Rarely,1153,Research & Development,1,110,94,3,2,Manufacturing Director,2,4325,17736,No,15,3,80,0,2,5,2,1,3
85,No,Travel_Rarely,1400,Research & Development,1,112,49,1,3,Manufacturing Director,4,7260,21698,No,11,3,80,0,3,6,4,0,2
86,No,Travel_Rarely,541,Sales,1,113,62,3,1,Sales Representative,1,2322,9518,No,13,3,80,1,3,0,0,0,0
87,No,Travel_Rarely,432,Research & Development,1,116,96,3,1,Laboratory Technician,4,2075,18725,No,23,4,80,2,4,4,2,0,3
88,No,Travel_Rarely,288,Research & Development,1,117,99,2,2,Healthcare Representative,4,4152,15830,No,19,3,80,3,3,11,10,10,8
89,Yes,Travel_Rarely,669,Sales,1,118,64,2,3,Sales Executive,4,9619,13596,No,16,3,80,0,3,9,8,4,7
90,No,Travel_Frequently,530,Research & Development,1,119,78,2,4,Healthcare Representative,2,13503,14115,No,22,4,80,1,3,22,3,11,11
91,No,Travel_Rarely,632,Sales,1,120,71,3,2,Sales Executive,4,5441,8423,Yes,22,4,80,0,2,10,7,1,0
92,No,Travel_Rarely,1334,Sales,1,121,63,2,2,Sales Executive,2,5209,19760,Yes,12,3,80,3,4,11,8,2,7
93,No,Travel_Frequently,638,Research & Development,1,124,40,2,3,Healthcare Representative,1,10673,3142,Yes,13,3,80,1,5,10,9,9,5
94,No,Travel_Rarely,1093,Sales,1,125,87,3,2,Sales Executive,3,5010,24301,No,16,3,80,0,0,11,8,5,7
95,No,Travel_Rarely,1217,Research & Development,1,126,60,3,3,Research Director,3,13549,24001,No,12,3,80,1,5,4,3,0,3
96,No,Travel_Rarely,1353,Sales,1,128,33,3,2,Sales Executive,3,4999,17519,No,21,4,80,1,2,3,2,0,2
97,No,Non-Travel,120,Sales,1,129,43,3,2,Sales Executive,3,4221,8863,No,15,3,80,0,3,5,4,0,4
98,No,Travel_Rarely,682,Sales,1,131,37,3,4,Sales Executive,3,13872,24409,No,13,3,80,0,1,37,10,1,8
99,No,Non-Travel,489,Research & Development,1,132,67,3,2,Laboratory Technician,2,2042,25043,No,12,3,80,1,3,3,2,1,2
100,Yes,Travel_Rarely,807,Human Resources,1,133,63,3,1,Human Resources,1,2073,23648,Yes,22,4,80,0,3,3,2,0,2
101,No,Travel_Rarely,827,Research & Development,1,134,71,3,1,Research Scientist,1,2956,15178,No,13,3,80,0,2,1,0,0,0
102,Yes,Travel_Frequently,871,Research & Development,1,137,66,2,1,Laboratory Technician,4,2926,19783,Yes,18,3,80,0,5,1,0,1,0
103,No,Travel_Rarely,665,Research & Development,1,138,41,3,2,Research Scientist,3,4809,12482,No,14,3,80,0,3,16,13,2,10
104,No,Non-Travel,1040,Research & Development,1,139,100,2,2,Healthcare Representative,4,5163,15850,No,14,3,80,1,2,1,0,0,0
105,No,Non-Travel,1420,Human Resources,1,140,32,2,5,Manager,4,18844,21922,No,21,4,80,1,3,3,2,2,2
106,No,Travel_Frequently,1115,Research & Development,1,141,73,3,5,Research Director,2,18172,9755,Yes,19,3,80,0,1,8,3,0,7
107,Yes,Travel_Rarely,240,Sales,1,142,46,2,2,Sales Executive,3,5744,26959,Yes,11,3,80,0,1,6,4,0,3
108,No,Travel_Rarely,1280,Research & Development,1,143,64,2,1,Research Scientist,4,2889,26897,No,11,3,80,2,2,2,2,2,1
109,No,Travel_Rarely,534,Research & Development,1,144,59,3,1,Laboratory Technician,4,2871,23785,No,15,3,80,0,5,0,0,0,0
110,No,Travel_Frequently,1456,Research & Development,1,145,30,2,3,Healthcare Representative,1,7484,25796,No,20,4,80,0,1,13,12,12,8
111,Yes,Travel_Frequently,658,Research & Development,1,147,66,1,2,Laboratory Technician,3,6074,22887,Yes,24,4,80,0,3,9,7,0,6
112,No,Non-Travel,142,Human Resources,1,148,30,4,4,Manager,4,17328,13871,Yes,12,3,80,0,3,5,3,4,4
113,No,Travel_Rarely,1127,Research & Development,1,150,52,3,1,Laboratory Technician,3,2774,13257,No,12,3,80,1,2,5,3,1,2
114,No,Travel_Rarely,1031,Research & Development,1,151,45,2,2,Research Scientist,2,4505,15000,No,15,3,80,1,3,1,0,0,0
115,No,Travel_Rarely,1189,Sales,1,152,87,3,3,Sales Executive,4,7428,14506,No,12,3,80,0,3,5,3,1,3
116,No,Travel_Rarely,1354,Research & Development,1,153,45,2,3,Manager,1,11631,5615,No,12,3,80,0,6,11,10,5,8
117,No,Travel_Frequently,1467,Sales,1,154,92,3,3,Sales Executive,4,9738,22952,No,14,3,80,1,6,9,7,2,8
118,No,Travel_Rarely,922,Research & Development,1,155,39,3,1,Laboratory Technician,4,2835,2561,No,22,4,80,1,2,1,0,0,0
119,No,Travel_Frequently,394,Sales,1,158,92,3,4,Manager,4,16959,19494,Yes,12,3,80,2,3,25,12,4,12
120,No,Travel_Frequently,1312,Research & Development,1,159,96,1,1,Research Scientist,3,2613,22310,No,25,4,80,3,2,10,7,0,9
121,No,Non-Travel,750,Sales,1,160,95,3,2,Sales Executive,2,6146,15480,No,13,3,80,1,2,7,7,0,7
122,Yes,Travel_Rarely,441,Research & Development,1,161,72,3,1,Research Scientist,2,4963,4510,Yes,18,3,80,3,2,5,4,4,3
123,No,Travel_Rarely,684,Research & Development,1,162,51,3,5,Research Director,3,19537,6462,No,13,3,80,0,5,20,18,15,15
124,Yes,Travel_Rarely,249,Sales,1,163,76,1,2,Sales Executive,3,6172,20739,Yes,18,3,80,0,3,7,7,7,7
125,No,Travel_Rarely,841,Research & Development,1,164,46,2,1,Research Scientist,2,2368,23300,No,19,3,80,0,3,5,4,4,3
126,Yes,Travel_Rarely,147,Research & Development,1,165,94,3,3,Healthcare Representative,4,10312,3465,No,12,3,80,1,3,40,10,15,6
127,Yes,Travel_Rarely,528,Sales,1,167,50,3,1,Sales Representative,3,1675,26820,Yes,19,3,80,0,2,0,0,0,0
128,No,Travel_Rarely,594,Research & Development,1,169,100,3,1,Laboratory Technician,4,2523,19299,No,14,3,80,1,2,2,1,2,1
129,No,Travel_Rarely,470,Research & Development,1,170,96,3,2,Manufacturing Director,1,6567,5549,No,14,3,80,0,2,15,11,5,11
130,No,Travel_Frequently,957,Research & Development,1,171,72,4,1,Research Scientist,3,4739,16090,No,12,3,80,0,2,3,2,1,2
131,No,Travel_Frequently,809,Sales,1,174,77,3,3,Sales Executive,4,9208,6645,No,11,3,80,0,3,2,2,2,1
132,Yes,Travel_Rarely,542,Sales,1,175,71,1,2,Sales Executive,3,4559,24788,Yes,11,3,80,1,2,2,2,2,2
133,No,Travel_Rarely,802,Sales,1,176,96,3,3,Sales Executive,3,8189,21196,Yes,13,3,80,1,2,9,7,0,7
134,No,Travel_Rarely,1355,Human Resources,1,177,61,3,1,Human Resources,3,2942,8916,No,23,4,80,1,3,8,7,5,7
135,No,Travel_Rarely,216,Research & Development,1,178,84,3,2,Manufacturing Director,2,4941,2819,No,20,4,80,2,0,3,2,0,1
136,Yes,Travel_Frequently,1150,Research & Development,1,179,53,1,3,Manufacturing Director,4,10650,25150,No,15,3,80,0,2,4,2,0,3
137,No,Travel_Rarely,1329,Sales,1,182,47,2,2,Sales Executive,3,5902,14590,No,14,3,80,1,1,15,11,5,9
138,No,Travel_Rarely,959,Sales,1,183,41,2,2,Sales Executive,3,8639,24835,No,18,3,80,0,3,2,2,2,2
139,No,Travel_Rarely,1240,Human Resources,1,184,48,3,2,Human Resources,4,6347,13982,Yes,19,3,80,0,2,11,9,4,7
140,Yes,Travel_Rarely,1033,Research & Development,1,190,41,3,1,Laboratory Technician,1,4200,10224,No,22,4,80,0,2,5,4,0,4
141,No,Travel_Rarely,1316,Research & Development,1,192,83,3,1,Research Scientist,4,3452,9752,No,13,3,80,0,2,6,5,0,3
142,No,Travel_Rarely,364,Research & Development,1,193,32,3,2,Research Scientist,3,4317,2302,Yes,20,4,80,0,2,3,2,2,2
143,No,Travel_Rarely,438,Research & Development,1,194,75,3,1,Research Scientist,3,2632,23910,No,14,3,80,0,4,5,4,0,4
144,No,Travel_Frequently,689,Sales,1,195,35,1,2,Sales Executive,4,4668,22812,No,17,3,80,3,2,8,7,0,7
145,No,Travel_Rarely,201,Research & Development,1,197,84,3,1,Research Scientist,1,3204,10415,No,14,3,80,1,3,3,2,2,2
146,No,Travel_Rarely,1427,Research & Development,1,198,35,2,1,Laboratory Technician,4,2720,11162,No,13,3,80,0,3,5,3,1,2
147,No,Travel_Frequently,857,Research & Development,1,199,91,2,4,Manager,1,17181,12888,No,13,3,80,1,2,7,6,7,7
148,No,Travel_Rarely,933,Research & Development,1,200,94,3,1,Laboratory Technician,1,2238,6961,No,21,4,80,1,2,5,0,1,4
149,No,Travel_Rarely,1181,Research & Development,1,201,79,3,1,Laboratory Technician,2,1483,16102,No,14,3,80,0,3,1,0,0,0
150,No,Travel_Frequently,1395,Research & Development,1,202,54,3,2,Research Scientist,2,5605,8504,No,11,3,80,1,2,20,7,2,13
151,No,Travel_Rarely,662,Sales,1,204,94,3,3,Sales Executive,2,7295,11439,No,13,3,80,2,3,10,8,0,6
152,No,Travel_Rarely,1436,Sales,1,205,34,3,2,Sales Representative,3,2306,16047,Yes,20,4,80,1,3,7,7,4,5
153,No,Travel_Rarely,194,Research & Development,1,206,60,3,2,Laboratory Technician,2,2348,10901,No,18,3,80,1,2,17,9,0,15
154,No,Travel_Frequently,967,Sales,1,207,43,3,3,Sales Executive,4,8998,15589,No,14,3,80,0,2,9,8,3,7
155,No,Non-Travel,1496,Research & Development,1,208,41,3,2,Manufacturing Director,3,4319,26283,No,13,3,80,1,1,10,7,0,9
156,No,Travel_Rarely,1169,Research & Development,1,211,34,2,2,Manufacturing Director,3,6132,13983,No,17,3,80,0,2,1,0,0,0
157,No,Travel_Rarely,1145,Research & Development,1,214,75,2,1,Research Scientist,2,3346,11873,Yes,20,4,80,1,3,1,0,0,0
158,No,Travel_Rarely,630,Sales,1,215,67,2,3,Sales Executive,4,10855,8552,No,11,3,80,1,2,12,11,2,11
159,No,Travel_Frequently,303,Sales,1,216,75,3,1,Sales Representative,3,2231,11314,No,18,3,80,1,3,4,3,1,2
160,No,Travel_Rarely,1256,Research & Development,1,217,80,3,1,Research Scientist,4,2323,11992,No,24,4,80,2,6,2,2,2,2
161,No,Non-Travel,691,Research & Development,1,218,57,3,1,Research Scientist,2,2024,5970,No,18,3,80,1,1,2,2,2,2
162,No,Travel_Rarely,440,Research & Development,1,221,42,3,1,Research Scientist,4,2713,6672,No,11,3,80,1,2,5,2,0,2
163,No,Travel_Rarely,334,Research & Development,1,223,83,4,3,Healthcare Representative,4,9439,23402,Yes,16,3,80,1,2,5,3,1,4
164,No,Non-Travel,1450,Research & Development,1,224,79,2,1,Research Scientist,3,2566,25326,Yes,15,3,80,1,2,1,1,0,1
165,No,Travel_Rarely,1452,Research & Development,1,226,53,3,5,Manager,2,19926,17053,No,15,3,80,0,5,5,4,4,4
166,No,Travel_Rarely,465,Research & Development,1,227,56,3,1,Research Scientist,3,2451,4609,No,12,3,80,1,2,9,8,1,8
167,No,Travel_Rarely,1339,Sales,1,228,41,3,3,Sales Executive,4,9419,8053,No,12,3,80,1,2,10,9,7,4
168,No,Travel_Rarely,702,Sales,1,230,59,2,2,Sales Executive,4,8686,12930,No,22,4,80,0,2,8,3,0,7
169,No,Travel_Rarely,120,Research & Development,1,231,43,3,1,Research Scientist,3,3038,12430,No,20,4,80,0,2,5,4,1,4
170,No,Travel_Rarely,1157,Research & Development,1,233,51,3,1,Research Scientist,2,3058,13364,Yes,16,3,80,1,3,5,2,1,1
171,Yes,Travel_Frequently,602,Sales,1,235,100,1,1,Sales Representative,1,2325,20989,No,21,4,80,0,5,0,0,0,0
172,No,Travel_Frequently,1480,Research & Development,1,238,30,3,1,Laboratory Technician,2,2088,15062,No,12,3,80,0,3,8,7,7,2
173,No,Non-Travel,111,Research & Development,1,239,66,3,2,Laboratory Technician,1,3072,11012,No,11,3,80,2,4,12,9,6,10
174,No,Travel_Rarely,1268,Sales,1,240,30,3,2,Sales Executive,1,5006,6319,Yes,11,3,80,1,3,5,4,0,3
175,No,Travel_Rarely,713,Research & Development,1,241,67,3,1,Research Scientist,1,4257,13939,Yes,18,3,80,1,3,2,2,2,2
176,No,Travel_Rarely,134,Research & Development,1,242,90,3,1,Research Scientist,4,2500,10515,No,14,3,80,0,2,3,1,0,2
177,Yes,Travel_Rarely,303,Research & Development,1,243,47,2,1,Laboratory Technician,4,1102,9241,No,22,4,80,0,3,1,0,1,0
178,No,Travel_Rarely,526,Sales,1,244,92,3,3,Sales Executive,1,10453,2137,No,25,4,80,3,2,24,13,15,7
179,No,Travel_Rarely,1380,Research & Development,1,245,75,3,1,Laboratory Technician,4,2288,6319,No,12,3,80,0,3,2,2,2,1
180,No,Travel_Rarely,140,Research & Development,1,246,95,3,1,Research Scientist,4,3929,6984,Yes,23,4,80,1,0,4,2,0,2
181,No,Travel_Rarely,629,Research & Development,1,247,95,3,1,Research Scientist,2,2311,5711,No,15,3,80,0,3,3,2,1,2
182,Yes,Travel_Rarely,1356,Sales,1,248,70,3,1,Sales Representative,2,3140,21728,Yes,22,4,80,0,5,4,3,0,2
183,No,Travel_Rarely,328,Research & Development,1,249,86,2,1,Laboratory Technician,3,3690,3425,No,15,3,80,1,2,3,2,0,2
184,No,Travel_Rarely,1084,Research & Development,1,250,57,4,2,Manufacturing Director,1,4450,26250,No,11,3,80,2,3,4,2,1,3
185,No,Travel_Rarely,931,Research & Development,1,252,72,3,1,Research Scientist,2,2756,4673,No,13,3,80,1,5,8,7,1,6
186,No,Travel_Rarely,989,Research & Development,1,253,46,3,5,Manager,3,19033,6499,No,14,3,80,1,2,20,8,9,9
187,No,Travel_Rarely,692,Research & Development,1,254,61,4,5,Research Director,2,18722,13339,No,11,3,80,0,3,24,15,2,15
188,No,Travel_Frequently,1069,Research & Development,1,256,45,2,2,Manufacturing Director,3,9547,14074,No,17,3,80,0,2,10,9,1,9
189,No,Travel_Rarely,313,Research & Development,1,258,98,3,4,Healthcare Representative,2,13734,7192,No,18,3,80,0,6,7,7,1,0
190,No,Travel_Rarely,699,Research & Development,1,259,65,2,5,Manager,3,19999,5678,No,14,3,80,1,5,33,18,11,9
191,No,Travel_Rarely,894,Research & Development,1,260,99,3,1,Research Scientist,2,2279,11781,No,16,3,80,0,2,7,7,0,3
192,Yes,Travel_Rarely,556,Research & Development,1,261,50,2,2,Manufacturing Director,3,5916,15497,Yes,13,3,80,0,1,1,0,0,1
193,No,Non-Travel,1344,Research & Development,1,262,37,4,1,Research Scientist,4,2089,5228,No,14,3,80,3,3,5,4,2,2
194,No,Non-Travel,1195,Research & Development,1,264,65,2,4,Manager,4,16792,20462,No,23,4,80,1,1,20,8,11,8
195,No,Travel_Rarely,290,Research & Development,1,267,65,4,1,Research Scientist,1,3564,22977,Yes,12,3,80,1,3,8,7,1,7
196,No,Travel_Frequently,138,Research & Development,1,269,37,3,2,Laboratory Technician,2,4425,15986,No,11,3,80,0,5,6,2,1,2
197,No,Non-Travel,926,Research & Development,1,270,36,3,2,Manufacturing Director,3,5265,16439,No,16,3,80,1,5,5,3,0,2
198,No,Travel_Rarely,1261,Research & Development,1,271,88,3,2,Manufacturing Director,3,6553,7259,No,14,3,80,0,3,1,0,0,0
199,No,Travel_Rarely,1084,Research & Development,1,273,54,3,2,Manufacturing Director,4,6261,4185,No,18,3,80,1,3,7,7,1,7
200,No,Travel_Frequently,472,Research & Development,1,274,60,2,2,Manufacturing Director,1,4298,9679,No,19,3,80,1,1,2,2,2,0
201,No,Non-Travel,1002,Research & Development,1,275,92,3,2,Manufacturing Director,4,6804,23793,Yes,15,3,80,2,0,7,7,1,7
202,No,Travel_Frequently,878,Research & Development,1,277,43,3,1,Research Scientist,3,3815,5972,Yes,17,3,80,1,4,5,3,2,0
