Age,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,MaritalStatus,NumCompaniesWorked,Over18,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,Attrition
33,1,3,Life Sciences,52,Female,Married,2,Y,1,10,3,No
35,4,2,Other,53,Male,Divorced,1,Y,3,1,3,No
27,2,4,Life Sciences,54,Female,Divorced,1,Y,4,1,3,No
26,25,3,Life Sciences,55,Male,Single,1,Y,3,1,2,Yes
27,8,3,Life Sciences,56,Male,Single,1,Y,4,9,3,No
30,1,2,Medical,57,Female,Single,1,Y,4,12,3,No
41,12,3,Technical Degree,58,Female,Married,1,Y,4,23,3,Yes
34,23,4,Marketing,60,Male,Single,0,Y,3,10,3,No
37,19,2,Life Sciences,61,Male,Married,4,Y,1,8,3,No
46,5,4,Marketing,62,Male,Single,4,Y,3,14,3,No
35,8,1,Life Sciences,63,Male,Married,1,Y,4,1,3,No
48,1,2,Life Sciences,64,Male,Single,9,Y,4,23,3,Yes
28,5,4,Technical Degree,65,Male,Single,1,Y,3,2,2,Yes
44,1,5,Marketing,68,Female,Divorced,5,Y,3,9,2,No
35,11,2,Medical,70,Male,Married,2,Y,3,10,3,No
26,23,3,Marketing,72,Female,Married,7,Y,3,5,2,No
33,1,2,Life Sciences,73,Female,Single,1,Y,3,15,3,No
35,18,5,Life Sciences,74,Male,Married,1,Y,4,9,2,No
35,23,4,Medical,75,Female,Married,3,Y,3,4,3,No
31,7,4,Life Sciences,76,Male,Divorced,3,Y,4,10,2,No
37,1,4,Life Sciences,77,Male,Divorced,1,Y,3,7,4,No
32,1,3,Medical,78,Male,Married,1,Y,2,9,3,No
38,29,5,Life Sciences,79,Female,Single,1,Y,4,10,3,No
50,7,2,Medical,80,Female,Divorced,5,Y,4,29,2,No
59,25,3,Life Sciences,81,Female,Single,7,Y,4,28,2,No
36,8,3,Technical Degree,83,Female,Divorced,1,Y,2,17,3,No
55,8,3,Medical,84,Female,Divorced,2,Y,3,21,3,No
36,11,3,Life Sciences,85,Male,Single,1,Y,3,6,3,No
45,7,3,Life Sciences,86,Male,Divorced,2,Y,3,25,3,No
35,1,3,Medical,88,Male,Married,4,Y,4,5,2,No
36,9,3,Medical,90,Male,Married,0,Y,1,2,2,Yes
59,1,1,Life Sciences,91,Female,Single,7,Y,4,20,2,No
29,2,3,Life Sciences,94,Male,Married,0,Y,4,6,3,No
31,1,4,Medical,95,Male,Single,1,Y,2,1,3,No
32,1,3,Life Sciences,96,Male,Married,1,Y,2,10,3,No
36,6,3,Life Sciences,97,Female,Married,3,Y,2,5,3,No
31,8,4,Life Sciences,98,Female,Single,1,Y,4,11,3,No
35,1,4,Marketing,100,Male,Single,0,Y,2,16,3,No
45,6,4,Other,101,Male,Married,4,Y,2,17,4,No
37,7,4,Medical,102,Male,Single,4,Y,1,16,4,No
46,5,2,Medical,103,Male,Divorced,8,Y,4,16,3,No
30,1,1,Life Sciences,104,Male,Married,1,Y,3,10,2,No
35,1,3,Medical,105,Male,Single,1,Y,1,6,3,No
55,1,2,Life Sciences,106,Male,Married,3,Y,4,24,3,No
38,6,3,Medical,107,Female,Divorced,7,Y,4,17,3,No
34,1,2,Medical,110,Male,Married,1,Y,3,5,3,No
56,7,3,Life Sciences,112,Male,Single,4,Y,1,37,2,No
23,2,1,Technical Degree,113,Male,Divorced,3,Y,3,3,3,No
51,9,4,Life Sciences,116,Male,Married,3,Y,2,10,3,No
30,2,3,Life Sciences,117,Male,Married,1,Y,1,11,3,No
46,9,2,Medical,118,Male,Single,1,Y,4,9,3,Yes
40,1,4,Life Sciences,119,Male,Married,1,Y,4,22,2,No
51,21,4,Marketing,120,Male,Single,0,Y,4,11,1,No
30,4,2,Medical,121,Female,Divorced,1,Y,2,11,2,No
46,1,3,Medical,124,Male,Married,2,Y,3,21,2,No
32,6,4,Medical,125,Male,Single,1,Y,1,12,3,No
54,2,4,Technical Degree,126,Female,Married,9,Y,1,16,1,No
24,3,2,Other,128,Female,Married,0,Y,1,4,2,No
28,4,3,Medical,129,Male,Married,1,Y,2,5,4,No
58,10,4,Medical,131,Male,Single,0,Y,3,38,2,No
44,23,3,Medical,132,Male,Married,4,Y,3,17,4,No
37,6,4,Human Resources,133,Male,Divorced,4,Y,4,7,3,Yes
32,1,1,Life Sciences,134,Male,Single,1,Y,4,1,3,No
20,6,3,Life Sciences,137,Female,Single,1,Y,2,1,3,Yes
34,6,4,Other,138,Female,Single,1,Y,3,16,3,No
37,2,2,Life Sciences,139,Male,Divorced,5,Y,4,17,4,No
59,2,4,Human Resources,140,Female,Married,9,Y,4,30,3,No
50,1,3,Life Sciences,141,Female,Married,3,Y,1,28,2,No
25,5,3,Marketing,142,Male,Single,1,Y,4,6,3,Yes
25,7,1,Medical,143,Male,Married,1,Y,3,2,3,No
22,15,3,Medical,144,Female,Single,1,Y,3,1,3,No
51,1,4,Medical,145,Female,Single,3,Y,3,23,2,No
34,7,3,Life Sciences,147,Male,Single,1,Y,4,9,3,Yes
54,26,3,Human Resources,148,Female,Single,2,Y,3,23,3,No
24,18,1,Life Sciences,150,Male,Married,0,Y,3,6,3,No
34,6,4,Life Sciences,151,Female,Divorced,6,Y,3,12,3,No
37,3,3,Life Sciences,152,Male,Single,2,Y,1,12,3,No
34,5,3,Medical,153,Female,Single,2,Y,4,14,3,No
36,11,2,Technical Degree,154,Female,Married,0,Y,3,10,3,No
36,3,2,Life Sciences,155,Female,Divorced,5,Y,1,7,3,No
43,26,2,Life Sciences,158,Male,Married,1,Y,4,25,4,No
30,23,3,Life Sciences,159,Male,Divorced,1,Y,3,10,2,No
33,22,2,Marketing,160,Male,Married,0,Y,1,8,4,No
56,14,4,Life Sciences,161,Female,Married,9,Y,1,7,3,Yes
51,6,3,Life Sciences,162,Male,Single,7,Y,3,23,3,No
31,6,4,Life Sciences,163,Male,Married,4,Y,2,12,2,Yes
26,6,3,Other,164,Female,Married,1,Y,3,5,2,No
58,23,4,Medical,165,Female,Married,1,Y,4,40,2,Yes
19,22,1,Marketing,167,Male,Single,1,Y,4,0,2,Yes
22,2,1,Technical Degree,169,Male,Married,0,Y,3,3,3,No
49,20,4,Medical,170,Female,Married,1,Y,3,16,2,No
43,28,3,Medical,171,Female,Single,4,Y,4,18,3,No
50,12,3,Marketing,174,Female,Single,4,Y,4,16,3,No
31,20,3,Life Sciences,175,Female,Married,3,Y,3,4,3,Yes
41,9,1,Life Sciences,176,Male,Divorced,3,Y,3,12,3,No
26,25,1,Life Sciences,177,Female,Married,1,Y,4,8,3,No
36,6,2,Medical,178,Male,Divorced,6,Y,4,7,3,No
51,8,4,Life Sciences,179,Male,Single,2,Y,4,18,3,Yes
39,4,4,Life Sciences,182,Female,Married,4,Y,3,17,4,No
25,28,3,Life Sciences,183,Male,Married,2,Y,4,6,3,No
30,9,3,Human Resources,184,Male,Married,0,Y,4,12,1,No
32,9,3,Medical,190,Female,Single,7,Y,1,10,4,Yes
45,29,3,Medical,192,Male,Single,5,Y,2,9,2,No
38,3,5,Technical Degree,193,Female,Single,3,Y,2,19,3,No
30,18,3,Life Sciences,194,Female,Single,1,Y,3,5,2,No
32,9,2,Medical,195,Male,Divorced,0,Y,4,9,4,No
30,5,3,Technical Degree,197,Female,Divorced,5,Y,4,8,3,No
30,2,1,Medical,198,Male,Single,0,Y,4,6,3,No
41,10,3,Life Sciences,199,Male,Divorced,4,Y,2,21,2,No
41,9,4,Life Sciences,200,Male,Married,2,Y,4,7,3,No
19,3,1,Medical,201,Female,Single,1,Y,4,1,3,No
40,26,3,Medical,202,Female,Divorced,1,Y,1,20,3,No
35,1,5,Marketing,204,Male,Married,1,Y,1,10,3,No
53,6,2,Marketing,205,Male,Married,2,Y,4,13,1,No
45,9,3,Life Sciences,206,Male,Divorced,8,Y,3,20,1,No
32,8,3,Marketing,207,Female,Single,1,Y,4,9,3,No
29,1,1,Technical Degree,208,Male,Married,1,Y,1,10,3,No
51,7,4,Medical,211,Male,Married,2,Y,3,10,3,No
58,9,3,Medical,214,Female,Married,4,Y,2,9,2,No
40,4,4,Marketing,215,Male,Married,7,Y,1,15,2,No
34,2,4,Marketing,216,Female,Married,6,Y,4,6,3,No
22,19,1,Medical,217,Male,Married,1,Y,1,2,3,No
27,9,3,Medical,218,Male,Divorced,6,Y,4,6,1,No
28,21,3,Medical,221,Male,Married,1,Y,3,5,1,No
57,24,2,Life Sciences,223,Male,Divorced,3,Y,2,12,1,No
27,3,3,Medical,224,Male,Divorced,1,Y,4,1,2,No
50,11,3,Life Sciences,226,Female,Single,3,Y,2,21,3,No
41,14,3,Life Sciences,227,Male,Divorced,4,Y,1,13,3,No
30,5,3,Life Sciences,228,Female,Married,2,Y,3,12,3,No
38,1,4,Life Sciences,230,Female,Single,4,Y,3,12,4,No
32,6,5,Life Sciences,231,Male,Single,3,Y,1,8,3,No
27,17,3,Technical Degree,233,Male,Married,0,Y,4,6,2,No
19,1,1,Technical Degree,235,Female,Single,0,Y,1,1,4,Yes
36,3,2,Medical,238,Male,Single,4,Y,3,13,2,No
30,9,3,Medical,239,Male,Divorced,1,Y,3,12,3,No
45,4,2,Life Sciences,240,Female,Divorced,4,Y,1,9,4,No
56,8,3,Life Sciences,241,Female,Divorced,4,Y,3,19,3,No
33,2,3,Life Sciences,242,Male,Single,0,Y,1,4,4,No
19,2,3,Life Sciences,243,Male,Single,1,Y,3,1,2,Yes
46,1,2,Marketing,244,Female,Divorced,1,Y,3,24,3,No
38,9,2,Life Sciences,245,Female,Single,1,Y,3,2,3,No
31,12,1,Medical,246,Female,Married,8,Y,3,7,3,No
34,27,2,Medical,247,Female,Single,2,Y,4,9,3,No
41,20,2,Marketing,248,Female,Single,1,Y,4,4,2,Yes
50,1,3,Medical,249,Male,Married,2,Y,4,5,2,No
53,13,2,Medical,250,Female,Divorced,1,Y,3,5,3,No
33,14,3,Medical,252,Female,Married,1,Y,4,8,3,No
40,4,1,Medical,253,Female,Married,1,Y,2,21,3,No
55,14,4,Medical,254,Male,Single,8,Y,4,36,3,No
34,2,1,Life Sciences,256,Male,Married,1,Y,3,10,2,No
51,3,3,Medical,258,Female,Single,3,Y,3,21,3,No
52,1,4,Life Sciences,259,Male,Married,0,Y,1,34,3,No
27,9,3,Medical,260,Female,Single,1,Y,4,7,2,No
35,23,2,Life Sciences,261,Male,Married,3,Y,1,8,3,Yes
43,7,3,Medical,262,Male,Divorced,4,Y,4,7,4,No
45,2,2,Medical,264,Male,Married,9,Y,4,22,3,No
37,21,3,Life Sciences,267,Male,Married,1,Y,1,8,2,No
35,2,3,Medical,269,Female,Single,5,Y,4,10,3,No
42,21,2,Medical,270,Female,Divorced,2,Y,2,11,3,No
38,2,4,Life Sciences,271,Male,Married,9,Y,2,14,3,No
38,29,3,Technical Degree,273,Male,Married,3,Y,1,9,1,No
27,1,1,Technical Degree,274,Male,Married,5,Y,3,6,3,No
49,18,4,Life Sciences,275,Male,Divorced,1,Y,1,7,3,No
34,10,4,Medical,277,Male,Divorced,1,Y,4,5,4,No
40,19,2,Medical,281,Male,Married,8,Y,3,15,4,No
38,29,1,Medical,282,Male,Married,7,Y,2,17,3,Yes
29,27,3,Marketing,283,Female,Married,1,Y,4,10,2,Yes
22,5,3,Life Sciences,284,Male,Divorced,1,Y,1,4,2,No
36,18,1,Medical,286,Female,Single,1,Y,1,8,3,No
40,9,5,Life Sciences,287,Male,Married,9,Y,4,5,1,No
46,1,4,Medical,288,Male,Divorced,7,Y,3,17,3,No
32,4,4,Medical,291,Male,Married,1,Y,3,14,2,Yes
30,1,1,Life Sciences,292,Male,Single,1,Y,3,12,3,No
27,20,3,Life Sciences,293,Female,Single,1,Y,4,7,3,No
51,8,4,Life Sciences,296,Male,Married,5,Y,4,16,1,No
30,3,3,Technical Degree,297,Female,Single,5,Y,3,8,3,Yes
41,6,3,Life Sciences,298,Female,Single,3,Y,3,16,3,No
30,26,4,Marketing,299,Female,Single,5,Y,3,9,2,Yes
29,1,3,Technical Degree,300,Male,Single,0,Y,4,7,2,Yes
45,6,3,Medical,302,Female,Single,6,Y,4,23,3,No
54,3,3,Marketing,303,Female,Married,2,Y,4,16,3,No
36,5,2,Life Sciences,304,Male,Single,8,Y,4,16,4,No
33,4,4,Medical,305,Female,Married,6,Y,4,7,3,No
37,11,3,Other,306,Male,Divorced,1,Y,3,10,3,No
38,3,3,Life Sciences,307,Male,Divorced,0,Y,3,17,2,No
31,1,4,Medical,308,Male,Married,0,Y,4,6,3,No
59,3,3,Life Sciences,309,Male,Married,3,Y,1,7,3,No
37,4,4,Marketing,311,Male,Divorced,4,Y,3,13,3,No
29,1,1,Medical,312,Female,Married,1,Y,4,11,3,No
35,1,3,Marketing,314,Female,Single,1,Y,1,10,4,No
29,18,1,Medical,315,Male,Single,1,Y,3,4,2,Yes
52,2,3,Life Sciences,316,Female,Single,7,Y,2,6,2,No
42,4,2,Technical Degree,319,Male,Married,1,Y,4,22,3,No
59,6,2,Medical,321,Male,Married,8,Y,4,7,2,No
50,1,4,Medical,323,Female,Divorced,3,Y,3,32,2,No
33,14,3,Medical,325,Male,Married,5,Y,3,8,1,Yes
43,16,3,Marketing,327,Female,Married,5,Y,3,22,3,No
33,2,2,Life Sciences,328,Female,Married,7,Y,1,13,4,Yes
52,2,4,Life Sciences,329,Male,Single,1,Y,4,33,4,No
32,4,2,Life Sciences,330,Female,Married,2,Y,1,6,3,No
32,1,3,Life Sciences,331,Male,Single,0,Y,4,4,1,Yes
39,1,4,Medical,332,Female,Divorced,7,Y,3,7,3,No
32,26,4,Marketing,333,Male,Married,0,Y,1,4,3,No
41,19,2,Life Sciences,334,Male,Divorced,2,Y,1,17,2,No
40,24,2,Technical Degree,335,Male,Divorced,1,Y,1,9,3,No
45,1,3,Other,336,Male,Married,0,Y,3,25,3,No
31,3,4,Medical,337,Male,Divorced,9,Y,1,9,3,No
33,5,4,Life Sciences,338,Female,Married,1,Y,3,2,2,No
34,2,4,Life Sciences,339,Male,Married,6,Y,2,13,3,No
37,1,2,Medical,340,Female,Married,2,Y,1,17,2,No
45,7,4,Life Sciences,341,Male,Married,4,Y,4,9,3,No
37,10,3,Medical,342,Male,Divorced,6,Y,2,17,3,Yes
39,2,4,Technical Degree,343,Female,Single,0,Y,4,20,3,No
29,15,3,Life Sciences,346,Male,Single,1,Y,1,6,3,No
42,17,2,Life Sciences,347,Female,Single,3,Y,3,10,3,No
29,20,2,Marketing,349,Male,Divorced,2,Y,4,10,3,No
25,1,3,Life Sciences,350,Female,Married,0,Y,4,5,3,No
42,2,3,Medical,351,Female,Divorced,0,Y,3,10,3,No
40,2,2,Medical,352,Male,Divorced,0,Y,4,22,3,No
51,1,3,Life Sciences,353,Male,Married,1,Y,2,1,2,No
31,29,2,Medical,355,Male,Single,0,Y,2,6,4,Yes
32,7,3,Life Sciences,359,Male,Married,1,Y,3,5,1,No
38,2,2,Life Sciences,361,Male,Married,3,Y,4,13,3,No
32,2,1,Technical Degree,362,Male,Single,4,Y,4,9,3,No
46,2,3,Technical Degree,363,Female,Married,3,Y,2,28,2,No
28,2,4,Life Sciences,364,Male,Single,2,Y,3,5,1,Yes
29,2,3,Medical,366,Male,Married,2,Y,2,10,3,No
31,23,3,Medical,367,Male,Married,0,Y,2,10,3,No
25,5,2,Life Sciences,369,Male,Divorced,1,Y,4,6,3,No
45,20,2,Medical,372,Male,Married,0,Y,2,21,3,No
36,6,3,Life Sciences,373,Male,Married,0,Y,3,16,3,No
55,1,3,Medical,374,Male,Single,0,Y,3,37,3,No
47,29,4,Life Sciences,376,Male,Married,1,Y,4,10,2,Yes
28,9,3,Medical,377,Male,Married,1,Y,4,5,2,No
37,6,4,Medical,378,Male,Married,4,Y,2,7,4,No
21,3,2,Medical,379,Male,Single,1,Y,1,3,4,No
37,1,4,Medical,380,Female,Divorced,2,Y,1,15,3,No
35,22,3,Life Sciences,381,Female,Divorced,7,Y,2,10,2,No
38,7,2,Medical,382,Female,Divorced,1,Y,3,8,3,No
26,1,3,Life Sciences,384,Female,Divorced,1,Y,1,6,1,No
50,4,1,Life Sciences,385,Male,Divorced,3,Y,1,28,2,No
53,3,4,Medical,386,Male,Married,3,Y,4,21,2,No
42,1,1,Life Sciences,387,Male,Married,1,Y,3,20,3,No
29,2,2,Life Sciences,388,Male,Single,1,Y,1,10,2,No
55,20,2,Technical Degree,389,Male,Married,3,Y,4,12,3,No
26,11,2,Medical,390,Male,Married,1,Y,3,5,3,No
37,1,3,Life Sciences,391,Female,Single,1,Y,2,17,3,No
44,24,3,Life Sciences,392,Male,Divorced,3,Y,4,19,1,Yes
38,23,4,Life Sciences,393,Male,Divorced,9,Y,2,10,3,No
26,16,4,Medical,394,Male,Divorced,2,Y,4,5,3,Yes
28,8,2,Life Sciences,395,Female,Single,1,Y,4,5,3,No
49,10,4,Life Sciences,396,Female,Single,9,Y,4,22,3,No
36,3,3,Technical Degree,397,Male,Single,4,Y,4,10,3,No
31,5,3,Marketing,399,Female,Divorced,1,Y,3,2,2,No
26,4,4,Marketing,401,Male,Single,1,Y,2,8,3,Yes
37,9,3,Medical,403,Male,Married,1,Y,3,4,2,No
42,26,3,Marketing,404,Female,Married,5,Y,4,23,4,No
18,3,3,Life Sciences,405,Male,Single,1,Y,3,0,3,Yes
35,16,3,Marketing,406,Male,Married,0,Y,3,12,2,No
36,18,4,Life Sciences,407,Male,Married,4,Y,4,4,3,No
51,2,3,Medical,408,Male,Divorced,5,Y,4,13,3,No
41,2,4,Life Sciences,410,Male,Single,1,Y,2,22,3,No
18,10,3,Medical,411,Female,Single,1,Y,1,0,3,No
28,16,2,Medical,412,Male,Single,0,Y,3,9,3,No
31,7,3,Technical Degree,416,Male,Married,4,Y,2,10,2,No
39,1,3,Medical,417,Male,Divorced,0,Y,1,19,2,No
36,24,4,Life Sciences,419,Female,Married,7,Y,3,11,3,No
32,7,3,Life Sciences,420,Male,Married,1,Y,3,13,2,No
38,25,2,Life Sciences,421,Female,Married,3,Y,3,19,3,No
58,1,4,Life Sciences,422,Male,Divorced,2,Y,4,12,3,No
31,5,4,Technical Degree,423,Male,Married,0,Y,3,6,3,No
31,2,3,Human Resources,424,Male,Married,3,Y,4,9,3,No
45,7,3,Life Sciences,425,Male,Divorced,1,Y,1,24,3,No
31,2,4,Life Sciences,426,Male,Divorced,0,Y,2,3,1,No
33,5,4,Life Sciences,428,Female,Married,6,Y,2,12,3,No
39,10,1,Medical,429,Male,Married,1,Y,4,21,3,No
43,10,4,Life Sciences,430,Female,Single,0,Y,1,9,3,No
49,1,2,Technical Degree,431,Female,Single,7,Y,4,25,3,No
52,8,4,Medical,433,Male,Married,2,Y,1,11,2,Yes
27,5,3,Life Sciences,434,Female,Single,1,Y,2,4,2,No
32,8,2,Technical Degree,436,Female,Married,1,Y,4,13,3,No
27,2,3,Life Sciences,437,Male,Single,1,Y,1,5,3,No
31,7,3,Marketing,438,Male,Divorced,4,Y,4,13,3,No
32,2,4,Medical,439,Female,Single,7,Y,3,10,2,No
28,2,4,Medical,440,Male,Married,5,Y,4,5,2,Yes
30,28,2,Medical,441,Female,Married,1,Y,4,11,3,No
31,7,2,Life Sciences,442,Female,Married,1,Y,1,10,3,No
39,7,2,Medical,444,Male,Married,1,Y,1,21,3,No
39,3,2,Medical,445,Female,Married,4,Y,1,12,2,Yes
33,10,3,Marketing,446,Male,Single,3,Y,3,9,2,No
47,5,5,Life Sciences,447,Male,Married,4,Y,2,21,3,No
43,10,4,Life Sciences,448,Female,Divorced,1,Y,2,9,4,No
27,1,1,Marketing,449,Male,Married,0,Y,4,6,3,No
54,20,4,Life Sciences,450,Female,Single,3,Y,4,20,2,No
43,7,3,Life Sciences,451,Female,Married,8,Y,1,10,2,No
45,8,4,Other,452,Male,Married,9,Y,1,12,3,No
40,1,2,Medical,453,Male,Married,2,Y,3,6,2,No
29,8,4,Other,454,Male,Married,1,Y,4,7,2,Yes
29,9,5,Other,455,Male,Single,0,Y,3,4,3,No
30,5,3,Marketing,456,Female,Divorced,1,Y,3,10,3,No
27,8,4,Marketing,458,Female,Married,1,Y,1,8,3,No
37,5,2,Medical,460,Male,Divorced,7,Y,3,8,2,No
38,15,2,Life Sciences,461,Male,Divorced,0,Y,2,12,3,No
31,7,4,Medical,462,Female,Single,1,Y,3,11,2,No
29,10,1,Marketing,463,Female,Divorced,1,Y,1,7,3,No
35,5,4,Technical Degree,464,Male,Single,0,Y,4,17,3,No
23,26,1,Life Sciences,465,Male,Divorced,1,Y,3,4,2,No
41,6,3,Medical,466,Male,Single,6,Y,4,8,3,No
47,4,1,Medical,467,Male,Single,3,Y,1,5,3,No
42,23,5,Life Sciences,468,Female,Single,2,Y,2,16,3,No
29,2,3,Life Sciences,469,Male,Married,1,Y,1,4,2,No
42,2,1,Technical Degree,470,Male,Divorced,0,Y,3,4,3,No
32,2,3,Medical,471,Female,Married,1,Y,3,8,3,No
48,29,1,Medical,473,Female,Married,3,Y,2,15,1,No
37,6,3,Medical,474,Male,Divorced,4,Y,1,13,3,No
30,25,2,Technical Degree,475,Female,Married,7,Y,2,4,4,No
26,1,3,Life Sciences,476,Male,Married,1,Y,2,8,3,No
42,2,4,Other,477,Male,Single,3,Y,2,14,3,No
21,1,1,Technical Degree,478,Female,Single,1,Y,3,3,3,Yes
36,1,5,Medical,479,Female,Single,4,Y,2,7,3,No
36,3,4,Medical,481,Male,Married,4,Y,1,16,3,No
57,1,4,Medical,482,Male,Married,2,Y,3,15,3,No
40,10,4,Life Sciences,483,Female,Married,3,Y,3,10,3,No
21,9,2,Medical,484,Male,Single,1,Y,3,3,2,No
33,5,3,Marketing,485,Female,Single,1,Y,2,1,3,Yes
37,10,3,Medical,486,Female,Married,6,Y,2,17,3,No
46,7,4,Medical,487,Female,Married,2,Y,3,7,4,No
41,4,3,Marketing,488,Male,Single,1,Y,3,8,3,Yes
50,10,3,Technical Degree,491,Male,Single,6,Y,4,20,3,No
40,22,2,Marketing,492,Male,Married,2,Y,1,8,3,Yes
31,9,4,Life Sciences,493,Male,Single,0,Y,4,3,3,No
21,12,3,Life Sciences,494,Female,Single,1,Y,4,1,3,Yes
29,23,3,Life Sciences,495,Male,Single,9,Y,4,6,3,No
35,9,4,Life Sciences,496,Male,Single,9,Y,3,10,3,No
27,1,2,Medical,497,Male,Divorced,1,Y,2,5,3,No
28,9,4,Life Sciences,498,Male,Single,1,Y,4,7,3,No
49,7,3,Other,499,Male,Single,8,Y,3,26,3,No
51,14,2,Life Sciences,500,Female,Married,4,Y,3,18,2,No
36,2,3,Life Sciences,501,Female,Married,4,Y,2,6,3,No
34,19,3,Marketing,502,Male,Single,8,Y,2,9,2,Yes
55,2,3,Life Sciences,505,Female,Single,2,Y,3,30,3,No
24,10,4,Marketing,507,Female,Divorced,1,Y,4,5,4,No
30,2,1,Technical Degree,508,Male,Married,1,Y,1,1,3,No
26,3,1,Technical Degree,510,Male,Single,0,Y,3,7,3,Yes
22,11,3,Medical,511,Female,Married,1,Y,4,2,3,No
36,2,2,Medical,513,Male,Married,1,Y,2,10,3,No
30,4,3,Technical Degree,514,Male,Single,9,Y,3,3,3,Yes
37,14,3,Life Sciences,515,Female,Divorced,1,Y,3,18,2,No
40,2,2,Marketing,516,Female,Divorced,7,Y,3,8,3,No
42,1,4,Life Sciences,517,Female,Divorced,3,Y,2,8,3,No
37,10,4,Life Sciences,518,Male,Single,2,Y,4,18,2,No
43,12,3,Life Sciences,520,Male,Divorced,1,Y,3,25,3,No
40,2,3,Medical,521,Female,Married,6,Y,2,20,3,No
54,5,2,Medical,522,Male,Married,4,Y,3,24,2,No
34,4,4,Marketing,523,Female,Married,9,Y,1,6,3,No
31,7,2,Medical,524,Female,Married,1,Y,2,13,1,No
43,21,3,Medical,525,Male,Married,7,Y,1,8,3,No
43,8,4,Other,526,Female,Divorced,4,Y,4,8,3,No
25,4,2,Life Sciences,527,Female,Single,1,Y,2,5,3,No
37,25,5,Medical,529,Female,Married,3,Y,1,15,3,No
31,1,2,Life Sciences,530,Male,Married,1,Y,3,4,3,No
39,1,1,Life Sciences,531,Male,Divorced,1,Y,3,21,3,No
56,6,3,Life Sciences,532,Female,Married,9,Y,4,36,2,No
30,12,3,Technical Degree,533,Female,Single,0,Y,2,6,3,No
41,1,3,Marketing,534,Male,Married,1,Y,3,10,3,No
28,17,2,Medical,536,Male,Divorced,1,Y,4,10,3,No
25,3,3,Medical,538,Male,Married,5,Y,3,6,3,Yes
52,3,3,Medical,543,Male,Married,2,Y,3,28,3,No
45,10,2,Life Sciences,544,Male,Married,3,Y,4,8,2,No
52,4,2,Life Sciences,546,Female,Married,2,Y,4,31,1,No
42,29,2,Life Sciences,547,Female,Divorced,2,Y,2,19,3,No
30,2,3,Life Sciences,548,Female,Single,2,Y,3,11,3,No
60,7,3,Life Sciences,549,Female,Married,5,Y,4,33,1,No
46,18,3,Medical,550,Female,Divorced,2,Y,3,19,2,No
42,28,4,Technical Degree,551,Female,Married,0,Y,4,7,4,No
