Monthly Income,id_income
6274,471
6272,472
6272,473
6261,474
6244,475
6232,476
6230,477
6220,478
6214,479
6209,480
6201,481
6180,482
6162,483
6162,484
6151,485
6146,486
6142,487
6142,488
6142,489
6132,490
6125,491
6120,492
6118,493
6091,494
6077,495
6062,496
6032,497
6029,498
5993,499
5985,500
5980,501
5974,502
5968,503
5957,504
5940,505
5933,506
5915,507
5914,508
5906,509
5902,510
5878,511
5869,512
5855,513
5811,514
5810,515
5775,516
5772,517
5770,518
5769,519
5769,520
5768,521
5762,522
5747,523
5745,524
5743,525
5736,526
5731,527
5715,528
5714,529
5689,530
5679,531
5677,532
5675,533
5674,534
5673,535
5666,536
5661,537
5660,538
5647,539
5605,540
5605,541
5593,542
5582,543
5577,544
5562,545
5562,546
5562,547
5561,548
5561,549
5538,550
5507,551
5505,552
5488,553
5487,554
5486,555
5485,556
5484,557
5484,558
5482,559
5476,560
5473,561
5473,562
5472,563
5470,564
5468,565
5467,566
5467,567
5460,568
5454,569
5441,570
5433,571
5429,572
5415,573
5410,574
5410,575
5406,576
5405,577
5405,578
5399,579
5396,580
5390,581
5380,582
5377,583
5376,584
5373,585
5368,586
5363,587
5347,588
5343,589
5343,590
5337,591
5332,592
5329,593
5321,594
5309,595
5304,596
5301,597
5296,598
5295,599
5294,600
5265,601
5258,602
5257,603
5253,604
5249,605
5238,606
5237,607
5231,608
5228,609
5228,610
5220,611
5210,612
5209,613
5208,614
5207,615
5206,616
5204,617
5204,618
5175,619
5171,620
5163,621
5155,622
5154,623
5151,624
5147,625
5131,626
5130,627
5126,628
5121,629
5098,630
5094,631
5093,632
5087,633
5079,634
5071,635
5070,636
5067,637
5063,638
5056,639
5055,640
5042,641
5033,642
5021,643
5010,644
5006,645
5003,646
5003,647
4999,648
4998,649
4978,650
4968,651
4968,652
4960,653
4950,654
4941,655
4936,656
4936,657
4930,658
4908,659
4907,660
4907,661
4900,662
4898,663
4898,664
4878,665
4877,666
4876,667
4876,668
4869,669
4859,670
4851,671
4850,672
4841,673
4821,674
4810,675
4809,676
4805,677
4789,678
4788,679
4779,680
4779,681
4775,682
4774,683
4771,684
4768,685
4766,686
4765,687
4759,688
4741,689
4739,690
4736,691
4735,692
4724,693
4724,694
4723,695
4721,696
4717,697
4695,698
4684,699
4682,700
4680,701
4678,702
4668,703
4663,704
4661,705
4649,706
4648,707
4647,708
4639,709
4639,710
4627,711
4621,712
4617,713
4615,714
4601,715
4591,716
4568,717
4558,718
4556,719
4554,720
4553,721
4541,722
4539,723
4538,724
4537,725
4534,726
4523,727
4522,728
4507,729
4505,730
4502,731
4490,732
4487,733
4485,734
4478,735
4477,736
4465,737
4450,738
4449,739
4448,740
4447,741
4444,742
4440,743
4440,744
4434,745
4425,746
4424,747
4422,748
4420,749
4404,750
4403,751
4401,752
4393,753
4385,754
4381,755
4377,756
4374,757
4373,758
4364,759
4345,760
4342,761
4335,762
4332,763
4327,764
4325,765
4323,766
4320,767
4319,768
4317,769
4312,770
4306,771
4306,772
4302,773
4298,774
4294,775
4285,776
4284,777
4272,778
4262,779
4260,780
4258,781
4257,782
4256,783
4249,784
4244,785
4240,786
4230,787
4227,788
4221,789
4198,790
4197,791
4197,792
4194,793
4193,794
4189,795
4187,796
4163,797
4162,798
4157,799
4152,800
4148,801
4148,802
4127,803
4115,804
4108,805
4107,806
4105,807
4103,808
4089,809
4087,810
4081,811
4078,812
4071,813
4069,814
4066,815
4051,816
4037,817
4035,818
4033,819
4028,820
4025,821
4025,822
4014,823
4014,824
4011,825
4011,826
4001,827
4000,828
3986,829
3983,830
3978,831
3977,832
3975,833
3968,834
3955,835
3944,836
3936,837
3931,838
3929,839
3920,840
3917,841
3907,842
3904,843
3902,844
3886,845
3875,846
3867,847
3838,848
3833,849
3816,850
3815,851
3812,852
3785,853
3780,854
3761,855
3760,856
3760,857
3755,858
3748,859
3737,860
3708,861
3702,862
3697,863
3692,864
3690,865
3688,866
3681,867
3673,868
3669,869
3660,870
3633,871
3629,872
3622,873
3617,874
3600,875
3597,876
3591,877
3580,878
3579,879
3578,880
3564,881
3544,882
3540,883
3539,884
3537,885
3517,886
3506,887
3505,888
3500,889
3491,890
3482,891
3477,892
3468,893
3452,894
3452,895
3452,896
3448,897
3447,898
3445,899
3433,900
3424,901
3423,902
3420,903
3420,904
3419,905
3407,906
3377,907
3376,908
3375,909
3346,910
3319,911
3312,912
3310,913
3306,914
3298,915
3295,916
3294,917
3294,918
3291,919
3280,920
3230,921
3229,922
3221,923
3212,924
3211,925
3210,926
3204,927
3201,928
3196,929
3195,930
3180,931
3162,932
3162,933
3149,934
3143,935
3131,936
3117,937
3072,938
3072,939
3069,940
3068,941
3067,942
3065,943
3058,944
3057,945
3055,946
3038,947
3038,948
3034,949
3033,950
3022,951
2996,952
2996,953
2994,954
2991,955
2983,956
2979,957
2977,958
2976,959
2974,960
2973,961
2972,962
2966,963
2956,964
2950,965
2942,966
2942,967
2936,968
2935,969
2933,970
2932,971
2929,972
2911,973
2911,974
2909,975
2904,976
2899,977
2897,978
2889,979
2886,980
2875,981
2871,982
2867,983
2862,984
2859,985
2858,986
2856,987
2844,988
2838,989
2837,990
2836,991
2835,992
2827,993
2821,994
2819,995
2818,996
2814,997
2811,998
2810,999
2809,1000
2804,1001
2799,1002
2794,1003
2793,1004
2791,1005
2789,1006
2783,1007
2782,1008
2782,1009
2781,1010
2774,1011
2773,1012
2768,1013
2766,1014
2756,1015
2743,1016
2741,1017
2741,1018
2728,1019
2725,1020
2723,1021
2720,1022
2720,1023
2718,1024
2713,1025
2706,1026
2705,1027
2703,1028
2703,1029
2700,1030
2696,1031
2695,1032
2694,1033
2693,1034
2691,1035
2690,1036
2684,1037
2678,1038
2670,1039
2662,1040
2661,1041
2660,1042
2659,1043
2657,1044
2654,1045
2647,1046
2645,1047
2644,1048
2642,1049
2632,1050
2622,1051
2619,1052
2613,1053
2610,1054
2610,1055
2593,1056
2592,1057
2587,1058
2585,1059
2580,1060
2579,1061
2576,1062
2572,1063
2571,1064
2570,1065
2566,1066
2564,1067
2559,1068
2559,1069
2559,1070
2553,1071
2552,1072
2544,1073
2543,1074
2539,1075
2534,1076
2532,1077
2523,1078
2519,1079
2517,1080
2515,1081
2514,1082
2506,1083
2501,1084
2500,1085
2500,1086
2496,1087
2478,1088
2476,1089
2468,1090
2455,1091
2451,1092
2451,1093
2451,1094
2450,1095
2450,1096
2440,1097
2439,1098
2438,1099
2436,1100
2430,1101
2426,1102
2406,1103
2406,1104
2404,1105
2400,1106
2387,1107
2380,1108
2380,1109
2379,1110
2377,1111
2376,1112
2372,1113
2372,1114
2370,1115
2368,1116
2367,1117
2356,1118
2348,1119
2345,1120
2342,1121
2342,1122
2342,1123
2341,1124
2340,1125
2332,1126
2329,1127
2328,1128
2326,1129
2323,1130
2322,1131
2318,1132
2314,1133
2311,1134
2308,1135
2306,1136
2305,1137
2297,1138
2296,1139
2290,1140
2289,1141
2288,1142
2279,1143
2277,1144
2274,1145
2272,1146
2270,1147
2269,1148
2269,1149
2267,1150
2259,1151
2258,1152
2258,1153
2244,1154
2238,1155
2235,1156
2232,1157
2231,1158
2226,1159
2220,1160
2218,1161
2213,1162
2207,1163
2206,1164
2201,1165
2194,1166
2187,1167
2187,1168
2177,1169
2177,1170
2176,1171
2168,1172
2157,1173
2154,1174
2153,1175
2145,1176
2144,1177
2143,1178
2141,1179
2133,1180
2132,1181
2127,1182
2127,1183
2115,1184
2109,1185
2109,1186
2105,1187
2099,1188
2097,1189
2096,1190
2096,1191
2093,1192
2089,1193
2088,1194
2083,1195
2080,1196
2075,1197
2073,1198
2070,1199
2070,1200
2066,1201
2064,1202
2062,1203
2061,1204
2045,1205
2044,1206
2042,1207
2033,1208
2029,1209
2028,1210
2024,1211
2014,1212
2013,1213
2011,1214
2008,1215
2008,1216
2007,1217
2001,1218
1951,1219
1706,1220
1702,1221
1611,1222
1563,1223
1514,1224
1483,1225
1281,1226
1274,1227
1232,1228
1223,1229
1200,1230
1129,1231
1052,1232
1051,1233
